data,algorithm,split,source_row,y_true
C1,RandomForestRegressor,Train,415,2.6875
C1,RandomForestRegressor,Train,253,26
C1,RandomForestRegressor,Train,507,0.6363
C1,RandomForestRegressor,Train,197,16.661
C1,RandomForestRegressor,Train,84,12.411
C1,RandomForestRegressor,Train,495,0.439
C1,RandomForestRegressor,Train,540,0.2479
C1,RandomForestRegressor,Train,337,0.1123
C1,RandomForestRegressor,Train,406,0.0568
C1,RandomForestRegressor,Train,161,95.3006
C1,RandomForestRegressor,Train,6,196.9007
C1,RandomForestRegressor,Train,624,113.5747
C1,RandomForestRegressor,Train,382,176.4069
C1,RandomForestRegressor,Train,569,117.0022
C1,RandomForestRegressor,Train,172,8.9135
C1,RandomForestRegressor,Train,660,19.09
C1,RandomForestRegressor,Train,666,11.2
C1,RandomForestRegressor,Train,488,0.6875
C1,RandomForestRegressor,Train,191,50.0692
C1,RandomForestRegressor,Train,379,256.0606
C1,RandomForestRegressor,Train,545,2.9256
C1,RandomForestRegressor,Train,218,140.1645
C1,RandomForestRegressor,Train,416,2.75
C1,RandomForestRegressor,Train,288,14.5
C1,RandomForestRegressor,Train,187,67.1065
C1,RandomForestRegressor,Train,163,2.005
C1,RandomForestRegressor,Train,543,2.033
C1,RandomForestRegressor,Train,124,4.7621
C1,RandomForestRegressor,Train,463,0.6518
C1,RandomForestRegressor,Train,157,70.5282
C1,RandomForestRegressor,Train,236,0
C1,RandomForestRegressor,Train,129,11.7748
C1,RandomForestRegressor,Train,134,4.7968
C1,RandomForestRegressor,Train,570,120.2191
C1,RandomForestRegressor,Train,616,32.1267
C1,RandomForestRegressor,Train,634,177.3756
C1,RandomForestRegressor,Train,13,164.5415
C1,RandomForestRegressor,Train,245,15.5
C1,RandomForestRegressor,Train,347,12.5401
C1,RandomForestRegressor,Train,7,203.5289
C1,RandomForestRegressor,Train,332,8.8
C1,RandomForestRegressor,Train,196,10.8544
C1,RandomForestRegressor,Train,330,9
C1,RandomForestRegressor,Train,365,3.4934
C1,RandomForestRegressor,Train,433,0.25
C1,RandomForestRegressor,Train,489,0.7188
C1,RandomForestRegressor,Train,363,5.2402
C1,RandomForestRegressor,Train,70,30
C1,RandomForestRegressor,Train,499,0.878
C1,RandomForestRegressor,Train,36,171.4973
C1,RandomForestRegressor,Train,211,143.58
C1,RandomForestRegressor,Train,118,11.7251
C1,RandomForestRegressor,Train,619,2.2624
C1,RandomForestRegressor,Train,179,47.5037
C1,RandomForestRegressor,Train,573,120.9294
C1,RandomForestRegressor,Train,86,12.286
C1,RandomForestRegressor,Train,661,12.93
C1,RandomForestRegressor,Train,79,62.9884
C1,RandomForestRegressor,Train,143,7.4165
C1,RandomForestRegressor,Train,524,1.2789
C1,RandomForestRegressor,Train,380,249.1342
C1,RandomForestRegressor,Train,423,3.4215
C1,RandomForestRegressor,Train,357,13.1703
C1,RandomForestRegressor,Train,184,3.8774
C1,RandomForestRegressor,Train,352,10.1342
C1,RandomForestRegressor,Train,492,-0.0488
C1,RandomForestRegressor,Train,152,8.0988
C1,RandomForestRegressor,Train,73,2
C1,RandomForestRegressor,Train,289,14.2
C1,RandomForestRegressor,Train,16,187.171
C1,RandomForestRegressor,Train,273,16.5508
C1,RandomForestRegressor,Train,542,1.0405
C1,RandomForestRegressor,Train,487,0.6573
C1,RandomForestRegressor,Train,629,162.4434
C1,RandomForestRegressor,Train,261,48
C1,RandomForestRegressor,Train,122,14.0871
C1,RandomForestRegressor,Train,335,0.1123
C1,RandomForestRegressor,Train,417,2.7813
C1,RandomForestRegressor,Train,578,199.8271
C1,RandomForestRegressor,Train,587,207.3981
C1,RandomForestRegressor,Train,414,2.5938
C1,RandomForestRegressor,Train,251,34
C1,RandomForestRegressor,Train,662,9.42
C1,RandomForestRegressor,Train,235,0
C1,RandomForestRegressor,Train,374,151.0303
C1,RandomForestRegressor,Train,326,8.6
C1,RandomForestRegressor,Train,281,30.1344
C1,RandomForestRegressor,Train,620,4.0724
C1,RandomForestRegressor,Train,90,20.1088
C1,RandomForestRegressor,Train,419,0.2975
C1,RandomForestRegressor,Train,453,2.7841
C1,RandomForestRegressor,Train,592,3.7292
C1,RandomForestRegressor,Train,479,0.0833
C1,RandomForestRegressor,Train,562,19.9007
C1,RandomForestRegressor,Train,618,33.9367
C1,RandomForestRegressor,Train,133,7.7838
C1,RandomForestRegressor,Train,483,0.4379
C1,RandomForestRegressor,Train,391,261.2554
C1,RandomForestRegressor,Train,18,180.7351
C1,RandomForestRegressor,Train,396,160.5788
C1,RandomForestRegressor,Train,355,10.9333
C1,RandomForestRegressor,Train,636,202.2624
C1,RandomForestRegressor,Train,547,3.3719
C1,RandomForestRegressor,Train,204,10.8544
C1,RandomForestRegressor,Train,468,1.1613
C1,RandomForestRegressor,Train,561,19.9005
C1,RandomForestRegressor,Train,183,56.7066
C1,RandomForestRegressor,Train,159,90.713
C1,RandomForestRegressor,Train,117,13.7027
C1,RandomForestRegressor,Train,394,179.8701
C1,RandomForestRegressor,Train,527,-0.1319
C1,RandomForestRegressor,Train,371,7.3913
C1,RandomForestRegressor,Train,333,8.2
C1,RandomForestRegressor,Train,45,77.8966
C1,RandomForestRegressor,Train,327,8.9
C1,RandomForestRegressor,Train,536,1.1869
C1,RandomForestRegressor,Train,671,5.4793
C1,RandomForestRegressor,Train,623,4.9773
C1,RandomForestRegressor,Train,221,16.661
C1,RandomForestRegressor,Train,512,1.0682
C1,RandomForestRegressor,Train,206,31.2926
C1,RandomForestRegressor,Train,612,190.7779
C1,RandomForestRegressor,Train,466,0.2074
C1,RandomForestRegressor,Train,346,11.1176
C1,RandomForestRegressor,Train,233,0
C1,RandomForestRegressor,Train,532,0.9231
C1,RandomForestRegressor,Train,370,10.8696
C1,RandomForestRegressor,Train,475,2.6613
C1,RandomForestRegressor,Train,87,17.4132
C1,RandomForestRegressor,Train,534,1.088
C1,RandomForestRegressor,Train,302,0
C1,RandomForestRegressor,Train,665,9.5675
C1,RandomForestRegressor,Train,314,80
C1,RandomForestRegressor,Train,219,144.8177
C1,RandomForestRegressor,Train,537,1.1935
C1,RandomForestRegressor,Train,142,6.9943
C1,RandomForestRegressor,Train,388,191.9913
C1,RandomForestRegressor,Train,465,0.6823
C1,RandomForestRegressor,Train,588,208.3905
C1,RandomForestRegressor,Train,108,16.7484
C1,RandomForestRegressor,Train,40,187.7603
C1,RandomForestRegressor,Train,14,175.7096
C1,RandomForestRegressor,Train,322,9.6
C1,RandomForestRegressor,Train,438,0.7813
C1,RandomForestRegressor,Train,622,4.5249
C1,RandomForestRegressor,Train,440,0.8125
C1,RandomForestRegressor,Train,384,246.5368
C1,RandomForestRegressor,Train,185,19.2773
C1,RandomForestRegressor,Train,192,60.0842
C1,RandomForestRegressor,Train,105,13.9905
C1,RandomForestRegressor,Train,223,60.2934
C1,RandomForestRegressor,Train,581,202.7626
C1,RandomForestRegressor,Train,30,178
C1,RandomForestRegressor,Train,262,43
C1,RandomForestRegressor,Train,116,12.2315
C1,RandomForestRegressor,Train,550,18.5644
C1,RandomForestRegressor,Train,401,222.5413
C1,RandomForestRegressor,Train,34,143.7129
C1,RandomForestRegressor,Train,269,14.1204
C1,RandomForestRegressor,Train,257,62
C1,RandomForestRegressor,Train,408,0.525
C1,RandomForestRegressor,Train,43,35.8031
C1,RandomForestRegressor,Train,517,0.4426
C1,RandomForestRegressor,Train,247,11
C1,RandomForestRegressor,Train,529,0.3956
C1,RandomForestRegressor,Train,97,12.9034
C1,RandomForestRegressor,Train,655,5.0188
C1,RandomForestRegressor,Train,584,203.5592
C1,RandomForestRegressor,Train,462,0.6512
C1,RandomForestRegressor,Train,637,206.7873
C1,RandomForestRegressor,Train,557,24.7571
C1,RandomForestRegressor,Train,443,1.008
C1,RandomForestRegressor,Train,640,5.4298
C1,RandomForestRegressor,Train,301,99
C1,RandomForestRegressor,Train,398,189.0305
C1,RandomForestRegressor,Train,377,31.8134
C1,RandomForestRegressor,Train,297,205
C1,RandomForestRegressor,Train,230,0
C1,RandomForestRegressor,Train,201,88.117
C1,RandomForestRegressor,Train,454,-0.0311
C1,RandomForestRegressor,Train,589,209.3641
C1,RandomForestRegressor,Train,378,235.2814
C1,RandomForestRegressor,Train,186,46.1627
C1,RandomForestRegressor,Train,456,0.0318
C1,RandomForestRegressor,Train,254,22
C1,RandomForestRegressor,Train,498,0.7805
C1,RandomForestRegressor,Train,614,28.5068
C1,RandomForestRegressor,Train,564,19.9019
C1,RandomForestRegressor,Train,386,265.5844
C1,RandomForestRegressor,Train,459,0.3721
C1,RandomForestRegressor,Train,295,225
C1,RandomForestRegressor,Train,450,2.74
C1,RandomForestRegressor,Train,339,0.1497
C1,RandomForestRegressor,Train,23,185.6084
C1,RandomForestRegressor,Train,345,10.3316
C1,RandomForestRegressor,Train,342,3.5187
C1,RandomForestRegressor,Train,102,14.3145
C1,RandomForestRegressor,Train,658,13.7265
C1,RandomForestRegressor,Train,266,9.2885
C1,RandomForestRegressor,Train,202,105.5386
C1,RandomForestRegressor,Train,33,75
C1,RandomForestRegressor,Train,672,7.9032
C1,RandomForestRegressor,Train,577,199.826
C1,RandomForestRegressor,Train,112,2
C1,RandomForestRegressor,Train,94,12.6758
C1,RandomForestRegressor,Train,47,100.5808
C1,RandomForestRegressor,Train,26,184.3807
C1,RandomForestRegressor,Train,552,21.0401
C1,RandomForestRegressor,Train,317,9.7
C1,RandomForestRegressor,Train,128,10.5788
C1,RandomForestRegressor,Train,198,31.2926
C1,RandomForestRegressor,Train,354,10.8798
C1,RandomForestRegressor,Train,37,175.4161
C1,RandomForestRegressor,Train,193,82.2821
C1,RandomForestRegressor,Train,88,17.5699
C1,RandomForestRegressor,Train,275,15.5572
C1,RandomForestRegressor,Train,111,5
C1,RandomForestRegressor,Train,268,12.5684
C1,RandomForestRegressor,Train,267,11.5498
C1,RandomForestRegressor,Train,20,37.4042
C1,RandomForestRegressor,Train,312,148
C1,RandomForestRegressor,Train,3,45.9523
C1,RandomForestRegressor,Train,402,229.0834
C1,RandomForestRegressor,Train,344,8.8717
C1,RandomForestRegressor,Train,644,6.7873
C1,RandomForestRegressor,Train,120,12.3402
C1,RandomForestRegressor,Train,359,11.4585
C1,RandomForestRegressor,Train,364,4.7511
C1,RandomForestRegressor,Train,83,4.2137
C1,RandomForestRegressor,Train,519,0.7869
C1,RandomForestRegressor,Train,231,0
C1,RandomForestRegressor,Train,141,6.4234
C1,RandomForestRegressor,Train,410,1.375
C1,RandomForestRegressor,Train,279,28.4955
C1,RandomForestRegressor,Train,228,0
C1,RandomForestRegressor,Train,224,79.7532
C1,RandomForestRegressor,Train,95,19.3671
C1,RandomForestRegressor,Train,248,35
C1,RandomForestRegressor,Train,31,145
C1,RandomForestRegressor,Train,81,56.3548
C1,RandomForestRegressor,Train,568,114.8951
C1,RandomForestRegressor,Train,553,23.5149
C1,RandomForestRegressor,Train,449,2.736
C1,RandomForestRegressor,Train,387,240.4761
C1,RandomForestRegressor,Train,174,9.5591
C1,RandomForestRegressor,Train,630,175.1131
C1,RandomForestRegressor,Train,240,18
C1,RandomForestRegressor,Train,358,13.9039
C1,RandomForestRegressor,Train,19,182.1148
C1,RandomForestRegressor,Train,645,8.5973
C1,RandomForestRegressor,Train,189,16.661
C1,RandomForestRegressor,Train,643,8.5973
C1,RandomForestRegressor,Train,63,73.8302
C1,RandomForestRegressor,Train,205,16.661
C1,RandomForestRegressor,Train,325,8.8
C1,RandomForestRegressor,Train,329,9.2
C1,RandomForestRegressor,Train,368,15.2174
C1,RandomForestRegressor,Train,321,9.6
C1,RandomForestRegressor,Train,565,19.9022
C1,RandomForestRegressor,Train,77,62.9884
C1,RandomForestRegressor,Train,674,4.8387
