data,algorithm,split,source_row,y_true
feature selected,PyTorch_TabularMLP,Train,65,64.5069
feature selected,PyTorch_TabularMLP,Train,513,1.0911
feature selected,PyTorch_TabularMLP,Train,590,3.9695
feature selected,PyTorch_TabularMLP,Train,167,3.4122
feature selected,PyTorch_TabularMLP,Train,153,8.2082
feature selected,PyTorch_TabularMLP,Train,67,58.7044
feature selected,PyTorch_TabularMLP,Train,10,189.6709
feature selected,PyTorch_TabularMLP,Train,576,194.3514
feature selected,PyTorch_TabularMLP,Train,422,2.4793
feature selected,PyTorch_TabularMLP,Train,309,170
feature selected,PyTorch_TabularMLP,Train,348,8.0216
feature selected,PyTorch_TabularMLP,Train,563,19.9014
feature selected,PyTorch_TabularMLP,Train,653,178.2805
feature selected,PyTorch_TabularMLP,Train,585,204.3982
feature selected,PyTorch_TabularMLP,Train,471,2.3226
feature selected,PyTorch_TabularMLP,Train,180,52.7921
feature selected,PyTorch_TabularMLP,Train,611,190.3014
feature selected,PyTorch_TabularMLP,Train,103,15.0427
feature selected,PyTorch_TabularMLP,Train,472,2.5161
feature selected,PyTorch_TabularMLP,Train,467,0.4355
feature selected,PyTorch_TabularMLP,Train,54,69.8308
feature selected,PyTorch_TabularMLP,Train,506,0.4892
feature selected,PyTorch_TabularMLP,Train,175,9.6674
feature selected,PyTorch_TabularMLP,Train,469,1.6452
feature selected,PyTorch_TabularMLP,Train,594,4.5061
feature selected,PyTorch_TabularMLP,Train,606,182.4439
feature selected,PyTorch_TabularMLP,Train,136,2.4124
feature selected,PyTorch_TabularMLP,Train,500,0.8782
feature selected,PyTorch_TabularMLP,Train,528,-0.0329
feature selected,PyTorch_TabularMLP,Train,356,10.9285
feature selected,PyTorch_TabularMLP,Train,101,8.3687
feature selected,PyTorch_TabularMLP,Train,176,3.9349
feature selected,PyTorch_TabularMLP,Train,407,0.1875
feature selected,PyTorch_TabularMLP,Train,508,0.7214
feature selected,PyTorch_TabularMLP,Train,277,25.3552
feature selected,PyTorch_TabularMLP,Train,439,0.8125
feature selected,PyTorch_TabularMLP,Train,316,9.8
feature selected,PyTorch_TabularMLP,Train,486,0.5937
feature selected,PyTorch_TabularMLP,Train,110,10
feature selected,PyTorch_TabularMLP,Train,44,55.2411
feature selected,PyTorch_TabularMLP,Train,452,2.832
