Biomass,Heating rate (℃/min),Pyrolysis temperature (℃),Pyrolysis time（h）,Modification method,C (%),H (%),O (%),N (%),Specific surface area (m2/g）,Pore volume (cm3/g）,Average pore size (nm),pH,Adsorption time (h),Adsorbent dosage (g/l),Adsorption temperature (℃),Initial concentration (mg/l)
6.121046749637536,-1.005219622,14.922997838215801,6.434129508880811,38.95839436798811,3.588667773,-6.725127052,11.400891614821104,1.4319573618315469,26.047311489261578,25.59753709351642,6.824581486477605,12.616238204241446,5.623145369603681,6.000571378566054,0.2975232513997786,37.72648110075769
-0.452782212,-1.585250997,-11.09736187,-3.210929716,-5.797931173,-0.158541239,-8.398288309,-0.204823284,0.0754446,-5.118104977,-6.139157513,1.9074094177922292,-2.227677317,3.059965029295293,-1.249211174,0.1831212521457014,-5.108518045
0.6025718629765469,1.9882309481113492,6.551882092567318,4.327833878998899,35.73674816030644,1.3625106119373551,12.068724729477934,1.3928511306678675,-2.758237386,12.740086448470777,4.749428509782828,-2.204961314,7.9307301913940345,12.021745975783798,-1.121350572,0.1321511420759929,41.647015952249454
0.4147484230624212,-5.489088945,-6.682982765,-2.274577008,-7.075883756,-0.659448514,-3.16402022,1.4480949038400266,1.6460446561530286,-4.441047196,-2.42644874,0.40892764935583226,2.464369482799804,3.7353669475770097,1.5358716764540492,0.47908404756424333,-11.70813107
2.1302331738772162,4.319522844431234,-0.141698885,3.629860320129301,-10.20170507,-2.144887681,2.2931849468496925,1.7466952468169876,-3.175966752,-6.58773342,-9.03291902,-0.922458361,7.702202226170001,7.492729267400013,-3.066957286,-7.104714595,26.365730180201922
2.3612311392541154,3.142019417902132,-1.024393217,2.8175284233076443,-19.3484544,-2.404212854,0.24347299568954772,-1.05777371,-18.3281333,-8.813582673,-6.519076408,-1.283022581,3.679707799315739,4.668511052840863,-3.097773967,0.34199218167024154,9.331677937224425
-5.913104548,3.253431882,-1.99611151,-0.620417004,-6.981927258,-0.845932911,0.8036912073055665,0.013676587643129264,-2.393021571,-6.4754352,-3.403816793,-7.983493555,-10.38990793,1.650595488435278,15.338834858503848,0.15354449411768395,-16.64932192
-10.7517829,2.5851239559741566,-1.513566444,2.6111914276463573,-13.80521059,-0.942683902,0.9311418302239225,-0.950440282,-0.317919152,-3.880980228,-3.030622539,0.14517641475510412,-13.07523766,3.294650387845178,-2.89058811,0.15134766370266634,-2.579074012
-0.311629566,2.1463327923681197,-1.872363373,-0.950910669,-7.456080433,-0.387266578,-1.014643813,-6.117809349,1.5204986929529882,-7.537389916,-4.191826256,-0.34785993,1.065007032470164,1.1473599564853427,-4.661787961,0.27248416482283994,-14.89183154
-0.864360069,-1.560351823,0.796211666,2.028670762871018,-8.570782239,-1.561101536,1.490267873163658,-0.692980984,-0.339067812,-6.404158482,-2.492604336,-0.351627073,-3.024685804,1.8196736803154088,-13.86007708,0.12172090475611339,-7.423043932
-0.554811567,1.9144116902050246,-2.115794586,-0.847615614,-7.700196039,-0.37982651,-0.973665826,-6.597987283,1.541881249403859,-7.393917199,-4.266976343,-0.431595941,1.166362008088157,1.0429451968048593,-4.908443842,0.296085016,-13.58599608
1.9890169999610168,3.111138787541027,-1.554585134,2.777138771980758,-20.23960876,-2.192047964,0.46509465347757534,-1.474969079,-19.66253851,-8.851402915,-7.157005362,-1.76663272,3.5862051091159066,5.093056592,-3.486439069,0.4212668592707354,14.308485363127724
-0.236182941,-2.315396577,-4.023910275,-4.248757299,-10.34317168,0.060425649,-1.184615072,-1.736343562,0.4030050967467046,-9.639890207,-7.131174833,0.7803565067057223,-3.124793569,3.591402182257393,-0.170377802,0.20786863839565245,-7.864467618
-8.129542261,2.743216418910878,-1.089045497,2.4493217118423116,-10.65006881,-0.366088298,0.4986960423889862,-0.642642416,0.098756374,-3.456020152,-2.186366561,-0.101755773,-0.381572089,2.622740158323245,-1.846689589,0.23259380979365704,-24.53549767
4.292355839674916,-2.304652845,11.676648567344584,3.639694178536198,16.26008701154878,2.7719830270002976,-2.774536878,8.936459346819856,2.9431990483395656,24.66797803724068,19.679956216496628,7.758317664351029,9.791425817764349,11.096032509290765,6.483425316226345,0.41753962242097103,24.147369205697434
3.124220032976826,4.045072888656661,-0.949747727,2.633318416333614,-20.76333588,-2.164715651,0.14613826103596853,-0.371356573,-23.39480908,-13.12453764,-7.812336897,-2.164707309,4.5666145125666375,4.485109655327375,-2.682525609,-0.969638974,7.420336153379105
-1.071711751,-2.076723924,1.1075826055218003,2.2165454201348327,-10.23127677,-1.187623859,1.547314643673936,-1.367678036,0.023150303658699162,-6.285621997,-2.6898043,-0.366300141,-2.669278453,-8.787412529,-4.942672375,0.23518264014634557,-7.611468478
-0.142884694,-1.594832306,-4.635696125,-1.968575463,-4.550449607,-0.052535778,-1.374167442,-0.072694442,0.36153402373985516,-8.670789931,-7.703017288,0.0152634,-1.233332762,0.1352188661627989,-0.779297677,0.14264194055260948,-2.14102985
-0.579079298,-1.35720698,-8.669503977,-3.012375803,-5.103618095,-0.021335085,-6.150040548,-0.083105147,0.035897325238177596,-4.025776081,-4.548223601,0.8185381779374021,-1.586492703,0.2560942057391134,-0.087322106,0.20477602351514484,-4.182996151
1.9470812378984883,10.768758725592368,-4.812242357,-1.193523476,4.924410720759027,0.3324840831319909,-0.365704224,8.119687392630142,-0.089369872,-5.802300616,2.107872869345181,0.16044705418952201,-1.766801018,-0.094181846,11.340290831181457,1.3392693524173536,-55.58302351
