data,algorithm,split,source_row,y_pred
C1,RandomForestRegressor,Train,454,0.009157
C1,RandomForestRegressor,Train,589,206.1994803
C1,RandomForestRegressor,Train,378,234.7584187
C1,RandomForestRegressor,Train,186,42.92045317
C1,RandomForestRegressor,Train,456,0.0699795
C1,RandomForestRegressor,Train,254,23.04610167
C1,RandomForestRegressor,Train,498,0.814837333
C1,RandomForestRegressor,Train,614,35.99533828
C1,RandomForestRegressor,Train,564,25.67902083
C1,RandomForestRegressor,Train,386,257.5725088
C1,RandomForestRegressor,Train,459,0.496974667
C1,RandomForestRegressor,Train,295,218.515
C1,RandomForestRegressor,Train,450,2.725165167
C1,RandomForestRegressor,Train,339,1.30266525
C1,RandomForestRegressor,Train,23,178.9964181
C1,RandomForestRegressor,Train,345,10.50760779
C1,RandomForestRegressor,Train,342,3.551442089
C1,RandomForestRegressor,Train,102,14.23408811
C1,RandomForestRegressor,Train,658,14.673539
C1,RandomForestRegressor,Train,266,10.4092535
C1,RandomForestRegressor,Train,202,102.8073112
C1,RandomForestRegressor,Train,33,89.10072382
C1,RandomForestRegressor,Train,672,7.173625167
C1,RandomForestRegressor,Train,577,194.4480572
C1,RandomForestRegressor,Train,112,6.304088448
C1,RandomForestRegressor,Train,94,13.69133003
C1,RandomForestRegressor,Train,47,92.5457165
C1,RandomForestRegressor,Train,26,183.4268062
C1,RandomForestRegressor,Train,552,22.41435183
C1,RandomForestRegressor,Train,317,9.641891556
C1,RandomForestRegressor,Train,128,12.11915475
C1,RandomForestRegressor,Train,198,28.67856683
C1,RandomForestRegressor,Train,354,10.77506417
C1,RandomForestRegressor,Train,37,169.9928042
C1,RandomForestRegressor,Train,193,81.13536583
C1,RandomForestRegressor,Train,88,19.20459438
C1,RandomForestRegressor,Train,275,17.1557585
C1,RandomForestRegressor,Train,111,9.903598029
C1,RandomForestRegressor,Train,268,12.22026633
C1,RandomForestRegressor,Train,267,11.30923283
C1,RandomForestRegressor,Train,20,55.26533183
C1,RandomForestRegressor,Train,312,135.4959433
C1,RandomForestRegressor,Train,3,59.59274294
C1,RandomForestRegressor,Train,402,226.3313548
C1,RandomForestRegressor,Train,344,8.260511106
C1,RandomForestRegressor,Train,644,15.11627967
C1,RandomForestRegressor,Train,120,14.08082775
C1,RandomForestRegressor,Train,359,11.63327236
C1,RandomForestRegressor,Train,364,5.195555683
C1,RandomForestRegressor,Train,83,10.50351264
